lat,lon,temp,pressure,humidity,dew_point,uvi,clouds,wind_speed,wind_deg,wind_gust,probability,Power (W)
50.0,-7.5,284.47,1031,84,281.87,0.14,100,10.5,300,12.31,0.5370231,1054329.39
50.0,-7.0,282.59,1031,84,280.03,0.13,100,10.51,301,12.61,0.5117295,1133306.59
50.0,-6.5,282.94,1030,98,282.64,0.14,75,9.77,300,18.33,0.5011366,3480883.98
50.0,-6.0,282.92,1030,86,280.69,0.18,48,11.18,297,14.31,0.62370926,1656231.55
50.0,-5.5,283.25,1029,97,282.8,0.2,90,9.77,300,18.33,0.5582049,3480883.98
50.0,-5.0,283.59,1029,90,282.02,0.19,82,9.0,293,13.81,0.6483009,1488617.74
50.0,-4.5,284.13,1029,88,282.22,0.14,99,9.84,300,14.31,0.6172641,1656231.55
50.0,-4.0,284.26,1028,90,282.68,0.1,93,9.91,296,14.31,0.4025323,1656231.55
50.0,-3.5,284.5,1028,91,283.09,0.1,100,10.47,292,14.11,0.42532986,1587753.92
50.0,-3.0,284.15,1027,90,282.57,0.09,100,10.76,290,14.91,0.48887226,1873419.70
50.0,-2.5,283.62,1026,87,281.55,0.09,100,10.89,293,15.61,0.6849965,2149863.38
50.0,-2.0,283.69,1026,87,281.62,0.09,100,11.33,290,16.11,0.5876411,2363136.32
50.0,-1.5,284.02,1025,88,282.11,0.12,90,11.25,285,15.41,0.56094193,2068283.51
50.0,-1.0,284.02,1025,89,282.28,0.12,62,12.59,283,16.61,0.6033786,2590067.31
50.0,-0.5,283.73,1024,90,282.16,0.0,99,13.44,286,18.21,0.5217576,3412966.23
50.0,0.0,283.73,1023,90,282.16,0.0,97,13.24,289,19.11,0.4419902,3944429.65
50.0,0.5,283.51,1023,91,282.11,0.0,81,12.97,287,19.31,0.4120834,4069574.23
50.0,1.0,283.81,1022,92,282.57,0.0,59,12.32,283,19.21,0.7919643,4006676.21
50.0,1.5,282.98,1021,95,282.22,0.0,74,10.42,286,18.11,0.71598244,3357047.64
50.0,2.0,283.03,1019,82,280.11,0.0,92,9.93,291,17.51,0.063323185,3034314.49
50.5,-8.0,284.35,1031,85,281.92,0.21,84,11.54,298,14.61,0.66400146,1762596.08
50.5,-7.5,284.18,1030,88,282.27,0.22,52,11.07,294,15.71,0.5909774,2191445.67
50.5,-7.0,284.15,1030,90,282.57,0.22,15,9.96,295,15.61,0.6290395,2149863.38
