,tempc,feelsc,windspeed_kph,winddir_deg,pressure_mb,precip_mm,humidity,visibility_km,cloud,weather_code,uvindex,isday,updatedon,a,Unnamed: 0,stationid,b,c,lat,lon
0,-0.1,-6.2,26.6,265.9,996.5,4.9,97.7,2.0,100.0,1225.0,1.0,1.0,2022-02-05 15:00,10898.0,10898,13135518,10898.0,10898.0,49.719448,-7.862957
1,-1.2,-8.8,38.2,262.7,995.1,2.8,85.8,0.0,100.0,1117.0,1.0,1.0,2022-02-05 15:00,2674.0,2674,8762895,2674.0,2674.0,49.719448,-7.852957
2,-1.6,-7.6,22.3,264.6,997.2,4.2,96.9,2.0,100.0,1225.0,1.0,1.0,2022-02-05 15:00,2714.0,2714,9076248,2714.0,2714.0,49.719448,-7.842957
3,-2,-9.9,37.8,268.5,994.5,1.1,75.8,0.0,94.2,1117.0,1.0,1.0,2022-02-05 15:00,2675.0,2675,8763561,2675.0,2675.0,49.719448,-7.8329569999999995
4,-2,-8.2,23.0,265.2,997.1,4.3,96.9,2.0,100.0,1225.0,1.0,1.0,2022-02-05 15:00,825.0,825,364302,825.0,825.0,49.719448,-7.822957
5,0.1,-5.8,24.8,271.2,997.6,4.2,97.3,2.0,100.0,1225.0,1.0,1.0,2022-02-05 15:00,2673.0,2673,8762229,2673.0,2673.0,49.719448,-7.812957
6,0.7,-5.7,31.7,268.8,995.5,4.3,96.4,0.0,83.5,1117.0,1.0,1.0,2022-02-05 15:00,2715.0,2715,9076581,2715.0,2715.0,49.719448,-7.802957
7,1.2,-4.8,29.2,266.9,994.4,3.1,91.6,0.0,67.9,1117.0,1.0,1.0,2022-02-05 15:00,852.0,852,373293,852.0,852.0,49.719448,-7.7929569999999995
8,10,5.2,57.6,249.9,1015.5,0.0,82.1,10.0,100.0,1009.0,3.0,1.0,2022-02-05 15:00,2650.0,2650,8751906,2650.0,2650.0,49.719448,-7.782957
9,10,5.21,47.9,230.0,1010.2,0.1,76.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,2591.0,2591,8585739,2591.0,2591.0,49.719448,-7.772957
10,10,5.32,47.9,230.0,1010.2,0.1,76.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,2598.0,2598,8588736,2598.0,2598.0,49.719448,-7.762957
11,10,5.36,47.9,240.0,1016.9,0.0,87.0,9.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,2557.0,2557,8572086,2557.0,2557.0,49.719448,-7.752956999999999
12,10,5.45,47.9,240.0,1016.9,0.0,87.0,9.0,75.0,1003.0,3.0,1.0,2022-02-05 15:00,954.0,954,407259,954.0,954.0,49.719448,-7.742957
13,10,5.52,47.9,240.0,1016.9,0.1,87.0,9.0,75.0,1003.0,3.0,1.0,2022-02-05 15:00,918.0,918,395271,918.0,918.0,49.719448,-7.732957
14,10,5.53,47.9,230.0,1010.2,0.3,76.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,824.0,824,363969,824.0,824.0,49.719448,-7.722957
15,10,5.53,47.9,240.0,1016.9,0.3,87.0,9.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,817.0,817,361638,817.0,817.0,49.719448,-7.712956999999999
16,10,5.53,47.9,240.0,1016.9,0.9,87.0,9.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,2618.0,2618,8741250,2618.0,2618.0,49.719448,-7.702957
17,10,5.55,47.9,240.0,1016.9,0.1,87.0,9.0,75.0,1003.0,3.0,1.0,2022-02-05 15:00,970.0,970,412587,970.0,970.0,49.719448,-7.692957
18,10,5.57,47.9,240.0,1016.9,0.2,87.0,9.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,2646.0,2646,8750574,2646.0,2646.0,49.719448,-7.682957
19,10,5.58,47.9,240.0,1016.9,0.1,87.0,9.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,2633.0,2633,8746245,2633.0,2633.0,49.719448,-7.672956999999999
20,10,5.62,28.1,250.0,1019.0,0.0,76.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,2772.0,2772,9301023,2772.0,2772.0,49.719448,-7.662957
21,10,5.67,28.1,240.0,1022.0,0.1,87.0,10.0,75.0,1003.0,3.0,1.0,2022-02-05 15:00,2577.0,2577,8580411,2577.0,2577.0,49.719448,-7.652957
22,10,5.67,31.0,240.0,1020.0,0.0,82.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,2592.0,2592,8586072,2592.0,2592.0,49.719448,-7.642957
23,10,5.68,47.9,230.0,1010.2,0.4,76.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,2638.0,2638,8747910,2638.0,2638.0,49.719448,-7.632956999999999
24,10,5.72,34.9,260.0,1016.9,0.2,82.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,2309.0,2309,4166163,2309.0,2309.0,49.719448,-7.6229569999999995
25,10,5.74,34.9,260.0,1016.9,0.2,82.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,956.0,956,407925,956.0,956.0,49.719448,-7.612957
26,10,5.77,34.9,260.0,1016.9,0.3,82.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,2379.0,2379,4638690,2379.0,2379.0,49.719448,-7.602957
27,10,5.79,20.2,230.0,1017.9,0.0,71.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,887.0,887,384948,887.0,887.0,49.719448,-7.592957
28,10,5.79,34.9,240.0,1017.9,0.0,66.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,2307.0,2307,4155174,2307.0,2307.0,49.719448,-7.5829569999999995
29,10,5.81,34.9,260.0,1016.9,0.2,82.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,1016.0,1016,427905,1016.0,1016.0,49.719448,-7.572957
30,10,5.81,47.9,240.0,1016.9,0.3,87.0,9.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,971.0,971,412920,971.0,971.0,49.719448,-7.562957
31,10,5.83,47.9,230.0,1010.2,0.3,76.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,2623.0,2623,8742915,2623.0,2623.0,49.719448,-7.552957
32,10,5.84,47.9,230.0,1010.2,0.3,76.0,10.0,75.0,1003.0,1.0,1.0,2022-02-05 15:00,1002.0,1002,423243,1002.0,1002.0,49.719448,-7.5429569999999995
33,10,5.86,31.0,240.0,1020.0,0.0,82.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,983.0,983,416916,983.0,983.0,49.719448,-7.532957
34,10,5.86,37.1,230.0,1015.9,0.0,62.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,1028.0,1028,431901,1028.0,1028.0,49.719448,-7.522957
35,10,5.9,34.9,260.0,1016.9,0.8,82.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,2640.0,2640,8748576,2640.0,2640.0,49.719448,-7.512957
36,10,5.92,28.1,240.0,1022.0,0.1,87.0,10.0,75.0,1003.0,3.0,1.0,2022-02-05 15:00,989.0,989,418914,989.0,989.0,49.719448,-7.502956999999999
37,10,5.92,34.9,260.0,1016.9,0.7,82.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,988.0,988,418581,988.0,988.0,49.719448,-7.492957
38,10,5.94,34.9,260.0,1016.9,1.3,82.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,853.0,853,373626,853.0,853.0,49.719448,-7.482957
39,10,5.94,47.9,240.0,1016.9,0.4,87.0,9.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,3306.0,3306,10579743,3306.0,3306.0,49.719448,-7.472957
40,10,5.96,34.9,260.0,1016.9,0.6,82.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,2377.0,2377,4632030,2377.0,2377.0,49.719448,-7.462956999999999
41,10,5.96,47.9,230.0,1010.2,0.7,76.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,2611.0,2611,8593731,2611.0,2611.0,49.719448,-7.452957
42,10,5.96,47.9,240.0,1016.9,0.5,87.0,9.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,2625.0,2625,8743581,2625.0,2625.0,49.719448,-7.442957
43,10,5.98,47.9,240.0,1016.9,0.4,87.0,9.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,2366.0,2366,4532796,2366.0,2366.0,49.719448,-7.432957
44,10,5.99,24.1,240.0,1012.9,0.9,71.0,10.0,75.0,1009.0,2.0,1.0,2022-02-05 15:00,880.0,880,382617,880.0,880.0,49.719448,-7.422956999999999
45,10,5.99,29.9,250.0,1016.9,0.1,66.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,1887.0,1887,2423574,1887.0,1887.0,49.719448,-7.412957
46,10,5.99,31.0,220.0,1016.9,0.0,71.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,873.0,873,380286,873.0,873.0,49.719448,-7.402957
47,10,5.99,31.0,220.0,1016.9,0.1,71.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,2796.0,2796,9612378,2796.0,2796.0,49.719448,-7.392957
48,10,6.03,24.1,240.0,1012.9,0.6,71.0,10.0,75.0,1009.0,2.0,1.0,2022-02-05 15:00,2312.0,2312,4173156,2312.0,2312.0,49.719448,-7.382956999999999
49,10,6.03,25.9,220.0,1014.9,0.1,82.0,10.0,75.0,1009.0,2.0,1.0,2022-02-05 15:00,858.0,858,375291,858.0,858.0,49.719448,-7.3729569999999995
50,10,6.03,34.9,240.0,1016.9,0.0,66.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,2332.0,2332,4258737,2332.0,2332.0,49.719448,-7.362957
51,10,6.05,20.2,230.0,1016.9,0.1,62.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,2298.0,2298,4081914,2298.0,2298.0,49.719448,-7.352957
52,10,6.05,25.9,220.0,1014.9,0.4,82.0,10.0,75.0,1009.0,2.0,1.0,2022-02-05 15:00,2619.0,2619,8741583,2619.0,2619.0,49.719448,-7.342957
53,10,6.05,31.0,240.0,1020.0,0.0,82.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,2411.0,2411,4966362,2411.0,2411.0,49.719448,-7.3329569999999995
54,10,6.07,31.0,220.0,1016.9,0.1,71.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,2766.0,2766,9298692,2766.0,2766.0,49.719448,-7.322957
55,10,6.07,34.9,260.0,1016.9,0.2,82.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,2626.0,2626,8743914,2626.0,2626.0,49.719448,-7.312957
56,10,6.09,24.1,240.0,1015.9,0.1,71.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,2651.0,2651,8752239,2651.0,2651.0,49.719448,-7.302956999999999
57,10,6.09,25.9,220.0,1014.9,0.2,82.0,10.0,75.0,1009.0,2.0,1.0,2022-02-05 15:00,2770.0,2770,9300024,2770.0,2770.0,49.719448,-7.2929569999999995
58,10,6.09,31.0,220.0,1016.9,0.1,71.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,2299.0,2299,4096566,2299.0,2299.0,49.719448,-7.282957
59,10,6.09,47.9,240.0,1016.9,1.4,87.0,9.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,2612.0,2612,8594064,2612.0,2612.0,49.719448,-7.272957
60,10,6.11,20.2,230.0,1016.9,0.0,62.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,945.0,945,404262,945.0,945.0,49.719448,-7.262957
61,10,6.11,20.2,230.0,1017.9,0.0,71.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,2689.0,2689,8769555,2689.0,2689.0,49.719448,-7.252956999999999
62,10,6.11,24.1,240.0,1012.9,0.2,71.0,10.0,75.0,1009.0,2.0,1.0,2022-02-05 15:00,2621.0,2621,8742249,2621.0,2621.0,49.719448,-7.242957
63,10,6.11,31.0,220.0,1016.9,0.1,71.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,955.0,955,407592,955.0,955.0,49.719448,-7.232957
64,10,6.11,34.9,240.0,1017.9,0.1,66.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,819.0,819,362304,819.0,819.0,49.719448,-7.222957
65,10,6.13,25.9,220.0,1014.9,0.1,82.0,10.0,75.0,1009.0,2.0,1.0,2022-02-05 15:00,1891.0,1891,2755242,1891.0,1891.0,49.719448,-7.212956999999999
66,10,6.13,25.9,220.0,1014.9,0.1,82.0,10.0,75.0,1009.0,2.0,1.0,2022-02-05 15:00,2806.0,2806,9950373,2806.0,2806.0,49.719448,-7.202957
67,10,6.13,31.0,250.0,1014.9,0.1,76.0,10.0,75.0,1003.0,3.0,1.0,2022-02-05 15:00,368.0,368,180153,368.0,368.0,49.719448,-7.192957
68,10,6.13,46.1,250.0,1011.9,0.9,87.0,8.0,75.0,1183.0,2.0,1.0,2022-02-05 15:00,,2218,3378285,2218.0,2218.0,49.719448,-7.182957
69,10,6.16,24.1,240.0,1015.9,0.1,71.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,2360.0,2360,4520142,2360.0,2360.0,49.719448,-7.172956999999999
70,10,6.16,24.1,240.0,1015.9,0.2,71.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,2799.0,2799,9616707,2799.0,2799.0,49.719448,-7.162957
71,10,6.16,25.9,220.0,1014.9,0.4,82.0,10.0,75.0,1009.0,2.0,1.0,2022-02-05 15:00,2765.0,2765,9298359,2765.0,2765.0,49.719448,-7.152957
72,10,6.16,47.9,250.0,1015.2,0.2,82.0,10.0,100.0,1009.0,2.0,1.0,2022-02-05 15:00,2758.0,2758,9296028,2758.0,2758.0,49.719448,-7.142957
73,10,6.18,24.1,240.0,1015.9,0.2,71.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,1017.0,1017,428238,1017.0,1017.0,49.719448,-7.132956999999999
74,10,6.18,47.9,250.0,1015.2,0.1,82.0,10.0,100.0,1009.0,2.0,1.0,2022-02-05 15:00,2240.0,2240,3479184,2240.0,2240.0,49.719448,-7.1229569999999995
75,10,6.2,24.1,240.0,1015.9,0.2,71.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,2338.0,2338,4312017,2338.0,2338.0,49.719448,-7.112957
76,10,6.2,34.9,240.0,1017.9,0.0,66.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,2688.0,2688,8769222,2688.0,2688.0,49.719448,-7.102957
77,10,6.2,37.1,230.0,1015.9,0.0,62.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,2296.0,2296,4072923,2296.0,2296.0,49.719448,-7.092957
78,10,6.22,25.9,220.0,1014.9,0.2,82.0,10.0,75.0,1009.0,2.0,1.0,2022-02-05 15:00,1885.0,1885,2422908,1885.0,1885.0,49.719448,-7.0829569999999995
79,10,6.22,34.9,260.0,1016.9,0.1,82.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,2738.0,2738,9085239,2738.0,2738.0,49.719448,-7.072957
80,10,6.22,37.1,230.0,1015.9,0.0,62.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,2551.0,2551,8570088,2551.0,2551.0,49.719448,-7.062957
