,latitude,longitude,temp,pressure,humidity,dew_point,uvi,clouds,wind_speed,wind_deg,wind_gust,price,probability
0,55.0994,-6.5362,280.37,1020.0,77.0,283.51,0.0,55.0,5.56,263.0,8.07,320956.0,0
1,57.9005,-3.899,280.03,1013.0,72.0,276.53,0.0,100.0,10.67,285.0,17.29,292266.0,0
2,54.2365,-6.6419,284.07,1015.0,73.0,276.03,0.0,44.0,3.95,312.0,13.68,242497.0,0
3,54.4536,1.4643,282.95,999.0,70.0,277.88,0.02,72.0,5.39,293.0,19.73,156798.0,0
4,53.7928,-4.4098,282.06,1022.0,69.0,279.71,0.0,57.0,14.69,277.0,15.93,368699.0,0
5,56.8879,-6.5538,278.89,1034.0,69.0,277.65,0.03,100.0,9.91,302.0,14.59,557675.0,0
6,53.7489,-5.8512,284.26,1011.0,74.0,277.18,0.0,100.0,11.78,241.0,11.84,348502.0,0
7,55.8148,0.8313,281.49,1015.0,74.0,277.54,0.02,66.0,5.17,270.0,10.33,466008.0,0
8,53.4107,-5.8375,282.28,1028.0,74.0,276.76,0.0,77.0,6.61,310.0,26.54,654200.0,0
9,56.8016,-1.348,280.68,1014.0,44.0,280.43,0.05,100.0,11.96,220.0,18.64,342309.0,0
10,54.9854,-2.3482,286.42,1031.0,92.0,275.53,0.0,89.0,8.81,289.0,18.46,322138.0,0
11,56.5726,0.2611,277.83,1030.0,89.0,276.0,0.0,100.0,14.12,326.0,18.76,839408.0,0
12,56.2925,-3.2947,282.64,1021.0,72.0,277.06,0.06,100.0,4.94,253.0,15.79,377963.0,0
13,59.6629,-4.3358,282.69,1026.0,90.0,278.31,0.0,45.0,10.54,314.0,8.72,244013.0,0
14,51.8359,-3.3482,281.75,1000.0,76.0,278.94,0.01,53.0,9.31,245.0,22.92,509391.0,0
15,53.7616,-7.3668,283.63,1009.0,77.0,276.91,0.04,62.0,14.06,331.0,16.04,620683.0,0
16,50.6535,-2.9192,282.13,1028.0,74.0,279.92,0.08,55.0,10.67,316.0,2.23,286290.0,0
17,56.119,-3.6145,281.22,1017.0,81.0,280.96,0.01,49.0,9.79,322.0,12.61,161888.0,0
18,59.4212,-6.8655,282.07,1027.0,73.0,273.27,0.0,51.0,3.97,273.0,25.35,437526.0,0
