,stationid,tempc,feelsc,windspeed_kph,winddir_deg,pressure_mb,precip_mm,humidity,visibility_km,cloud,weather_code,extra_weather_text,uvindex,isday,updatedon,lat,lon
0,2331,19,19.0,22.0,200.0,1008.1,0.1,83.0,10.0,100.0,1009.0,Overcast,4.0,1.0,2022-02-05 15:00,-34.8199996948242,-58.5299987792969
1,2664,20,20.0,22.0,80.0,1020.0,0.0,53.0,10.0,0.0,1000.0,Sunny,6.0,1.0,2022-02-05 15:00,-45.7799987792969,-67.5
2,2997,22,24.34,24.1,160.0,1016.9,0.0,57.0,10.0,75.0,1003.0,Partly cloudy,6.0,1.0,2022-02-05 15:00,-31.3199996948242,-64.2200012207031
3,3330,23,25.01,19.1,250.0,1007.1,0.0,69.0,10.0,50.0,1003.0,Partly cloudy,4.0,1.0,2022-02-05 15:00,-34.9700012207031,-57.9000015258789
4,3996,19,19.0,29.9,190.0,1008.1,0.8,83.0,9.0,100.0,1183.0,Light rain,4.0,1.0,2022-02-05 15:00,-37.9300003051758,-57.5800018310547
5,4329,20,20.0,6.1,290.0,1023.0,0.0,49.0,10.0,25.0,1003.0,Partly cloudy,5.0,1.0,2022-02-05 15:00,-38.9500007629395,-68.129997253418
6,4662,35.7,35.9,24.1,199.5,1010.0,0.0,27.9,10.0,12.9,1000.0,Sunny,9.0,1.0,2022-02-05 15:00,-29.1800003051758,-59.6699981689453
7,4995,23,24.55,33.1,220.0,1011.9,0.0,65.0,10.0,75.0,1003.0,Partly cloudy,7.0,1.0,2022-02-05 15:00,-32.9199981689453,-60.7799987792969
8,5661,26,26.7,6.8,190.0,1015.9,0.0,61.0,10.0,25.0,1003.0,Partly cloudy,8.0,1.0,2022-02-05 15:00,-26.8500003814697,-65.0999984741211
9,5994,6.8,6.8,2.2,46.7,1016.5,0.0,34.9,10.0,36.3,1003.0,Partly cloudy,1.0,0.0,2022-02-05 15:00,35.0200004577637,71.3499984741211
10,6327,16.6,16.6,43.6,180.0,1000.7,0.0,22.3,10.0,4.8,1000.0,Clear,1.0,0.0,2022-02-05 15:00,34.2200012207031,62.2200012207031
11,6660,-1.5,-1.5,1.1,278.0,1019.0,1.6,71.8,5.0,55.4,1222.0,Patchy heavy snow,1.0,0.0,2022-02-05 15:00,34.5299987792969,69.1800003051758
12,6993,14.4,13.6,12.6,53.8,1007.9,0.0,27.7,10.0,43.5,1003.0,Partly cloudy,1.0,0.0,2022-02-05 15:00,31.6200008392334,65.7200012207031
13,7326,25.5,27.0,18.7,121.1,1011.7,0.1,67.4,10.0,75.0,1063.0,Patchy rain possible,6.0,1.0,2022-02-05 15:00,-7.96999979019165,-14.3999996185303
14,7659,3,-3.66,37.1,330.0,1015.9,0.4,93.0,10.0,100.0,1183.0,Light rain,1.0,0.0,2022-02-05 15:00,40.4599990844727,50.0699996948242
15,7992,16,16.0,16.9,30.0,1022.0,0.0,68.0,10.0,50.0,1003.0,Partly cloudy,5.0,1.0,2022-02-05 15:00,36.7200012207031,3.25
16,8325,15,14.43,16.9,30.0,1022.0,0.0,51.0,10.0,75.0,1003.0,Partly cloudy,5.0,1.0,2022-02-05 15:00,36.2799987792969,6.61999988555908
17,8658,15,14.7,9.4,334.3,1020.4,0.0,48.1,10.0,9.7,1000.0,Sunny,5.0,1.0,2022-02-05 15:00,36.2700004577637,2.75
18,8991,18,18.0,25.9,260.0,1021.0,0.0,60.0,7.0,50.0,1003.0,Partly cloudy,5.0,1.0,2022-02-05 15:00,35.6300010681152,-0.600000023841858
19,10323,29,32.3,20.2,240.0,1008.1,0.0,62.0,10.0,25.0,1003.0,Partly cloudy,8.0,1.0,2022-02-05 15:00,-8.85000038146973,13.2399997711182
20,10656,25,26.68,16.9,90.0,1015.9,0.7,69.0,10.0,75.0,1003.0,Partly cloudy,6.0,1.0,2022-02-05 15:00,17.1200008392334,-61.7799987792969
21,10989,25,26.84,29.9,60.0,1015.9,5.0,83.0,7.0,0.0,1000.0,Sunny,5.0,1.0,2022-02-05 15:00,17.2999992370605,-62.6800003051758
22,11322,23,24.63,24.1,90.0,1014.9,0.0,38.0,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-34.9199981689453,138.520004272461
23,11655,19.8,19.8,11.5,66.2,1004.4,0.0,76.8,10.0,2.2,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-34.9300003051758,117.800003051758
24,11988,18,18.0,11.2,80.0,1022.0,0.0,73.0,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-36.0800018310547,146.949996948242
25,12321,17,17.0,0.0,0.0,1011.9,0.0,83.0,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-23.7900009155273,133.910003662109
26,12654,14.4,14.1,8.3,143.6,1020.7,0.0,66.9,10.0,9.8,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-37.2799987792969,142.979995727539
27,12987,10.4,8.5,14.4,113.1,1017.0,0.0,89.2,10.0,100.0,1009.0,Overcast,1.0,0.0,2022-02-05 15:00,-30.5300006866455,151.669998168945
28,14652,11.4,9.6,15.5,123.1,1020.3,0.0,80.7,10.0,100.0,1009.0,Overcast,1.0,0.0,2022-02-05 15:00,-33.4300003051758,149.570007324219
29,14985,13.8,13.9,5.8,210.4,1024.5,0.0,84.8,10.0,71.8,1006.0,Cloudy,1.0,0.0,2022-02-05 15:00,-36.6699981689453,149.820007324219
30,16650,24.5,26.2,28.1,139.6,1006.6,0.1,73.8,10.0,82.0,1063.0,Patchy rain possible,1.0,0.0,2022-02-05 15:00,-20.0200004577637,148.199996948242
31,16983,18,18.0,13.0,190.0,1012.9,0.7,83.0,10.0,50.0,1003.0,Partly cloudy,1.0,0.0,2022-02-05 15:00,-27.3700008392334,153.100006103516
32,18315,24,26.25,0.0,0.0,1005.1,2.1,94.0,10.0,75.0,1003.0,Partly cloudy,1.0,0.0,2022-02-05 15:00,-16.8700008392334,145.75
33,18648,13,11.79,9.0,140.0,1024.0,0.0,82.0,10.0,75.0,1003.0,Partly cloudy,1.0,0.0,2022-02-05 15:00,-35.2999992370605,149.190002441406
34,18981,28.4,32.9,18.4,353.2,1006.1,0.0,78.2,10.0,43.9,1003.0,Partly cloudy,1.0,0.0,2022-02-05 15:00,-16.3999996185303,122.930000305176
35,19314,27.4,30.0,14.8,206.5,1004.0,0.0,71.5,10.0,3.7,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-24.8700008392334,113.669998168945
36,19647,20.8,20.8,11.9,93.3,1012.5,0.0,53.0,10.0,2.4,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-32.1199989318848,133.699996948242
37,20979,19.8,19.8,33.8,88.9,1016.9,0.0,55.4,10.0,11.2,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-31.4799995422363,145.830001831055
38,21312,18,18.0,24.1,240.0,1014.9,0.5,83.0,10.0,100.0,1009.0,Overcast,1.0,0.0,2022-02-05 15:00,-30.3199996948242,153.119995117188
39,21978,17.1,17.1,16.9,104.7,1019.5,0.0,55.4,10.0,5.7,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-33.0699996948242,147.220001220703
40,22311,25.5,24.8,11.2,90.9,1011.4,0.0,26.6,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-29.0,134.75
41,23310,26,28.92,6.1,90.0,1008.1,0.0,94.0,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-12.3999996185303,130.869995117188
